Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
164.0,161.24727121748475,144.11874104933378,178.37580138563573,2015-06-06 12:00:00-04:00
167.0,161.27224593349558,144.1432699092493,178.40122195774185,2015-06-06 13:00:00-04:00
170.0,162.64042216975594,145.51257378620642,179.76827055330546,2015-06-06 14:00:00-04:00
163.0,161.2032917160497,144.06956001735705,178.33702341474236,2015-06-06 15:00:00-04:00
162.0,160.78862127432623,143.65601964097326,177.9212229076792,2015-06-06 16:00:00-04:00
162.0,161.49633126989156,144.36592583748543,178.62673670229768,2015-06-06 17:00:00-04:00
159.0,160.97295851530222,143.84170500325422,178.10421202735023,2015-06-06 18:00:00-04:00
158.0,160.09790020214092,142.96953027648047,177.22627012780137,2015-06-06 19:00:00-04:00
157.0,158.68997372899761,141.56339963829643,175.8165478196988,2015-06-06 20:00:00-04:00
155.0,158.13030974272132,141.00402464928845,175.2565948361542,2015-06-06 21:00:00-04:00
155.0,156.76918712115966,139.64302312771278,173.89535111460654,2015-06-06 22:00:00-04:00
155.0,155.8047288331911,138.67853159081545,172.93092607556673,2015-06-06 23:00:00-04:00
156.0,155.475957414775,138.35211205872685,172.59980277082315,2015-06-07 00:00:00-04:00
152.0,155.15864674954148,138.0353202262624,172.28197327282055,2015-06-07 01:00:00-04:00
153.0,155.29524662589102,138.16947347784523,172.42101977393682,2015-06-07 02:00:00-04:00
150.0,153.96148659245532,136.8379894929915,171.08498369191912,2015-06-07 03:00:00-04:00
144.0,152.76042590885245,135.63668803177802,169.8841637859269,2015-06-07 04:00:00-04:00
144.0,152.2442160668178,135.1202041251251,169.36822800851053,2015-06-07 05:00:00-04:00
144.0,152.0034066619889,134.8796435429938,169.127169780984,2015-06-07 06:00:00-04:00
144.0,152.4780118450917,135.35339564125556,169.6026280489278,2015-06-07 07:00:00-04:00
144.0,152.88282605998796,135.75546593443835,170.01018618553758,2015-06-07 08:00:00-04:00
146.0,153.87704948716,136.75110971768888,171.00298925663114,2015-06-07 09:00:00-04:00
150.0,155.1948657370724,138.06776726085553,172.32196421328928,2015-06-07 10:00:00-04:00
157.0,155.54111380360771,138.40906656621243,172.673161041003,2015-06-07 11:00:00-04:00
157.0,156.72433792091178,139.59124030559795,173.8574355362256,2015-06-07 12:00:00-04:00
158.0,157.95805190615627,140.82595928031446,175.09014453199808,2015-06-07 13:00:00-04:00
159.0,158.19196077602334,141.0630745446652,175.32084700738147,2015-06-07 14:00:00-04:00
158.0,159.7748643855935,142.65059509756114,176.89913367362587,2015-06-07 15:00:00-04:00
